president_name,speech_title,speech_date,speech_duration
Ulysses S. Grant,Message Regarding US International Relations,"July 14, 1870",5684
Thomas Jefferson,Address to the Brothers of Choctaw Nation,"December 17, 1803",1140
Andrew Johnson,Message Regarding the Suspension of Secretary Stanton,"December 12, 1867",5851
Barack Obama,Address to Congress on the American Jobs Act,"September 08, 2011",4188
Herbert Hoover,Statement on the National Economy,"May 31, 1932",2557
Lyndon B. Johnson,Address to the U.N. General Assembly,"December 17, 1963",3066
Andrew Jackson,Nullification Proclamation,"December 10, 1832",8875
Grover Cleveland,Second Annual Message (Second Term),"December 03, 1894",15890
Joe Biden,Speech on the Drawdown of US Forces in Afghanistan,"July 08, 2021",4031
Lyndon B. Johnson,Remarks at the Howard University Commencement,"June 04, 1965",2788
William McKinley,Second Annual Message,"December 05, 1898",20209
George Washington,Proclamation against Opposition to Execution of Laws and Excise Duties in Western Pennsylvania,"August 07, 1794",1285
Ronald Reagan,Speech on Foreign Policy,"December 16, 1988",7127
George Washington,Farewell Address,"September 19, 1796",6063
Donald Trump,Press Conference about the Coronavirus,"March 13, 2020",12336
Martin Van Buren,Message Regarding Disturbances and Hostilities on the Canadian Border,"November 21, 1838",509
Bill Clinton,Speech at the 25th Anniversary Memorial Mass for Robert F. Kennedy,"June 06, 1993",1081
Dwight D. Eisenhower,State of the Union Address,"January 07, 1960",5661
Franklin D. Roosevelt,Fireside Chat 14: On the European War,"September 03, 1939",1243
Bill Clinton,Response to the Lewinsky Allegations,"January 26, 1998",939
Millard Fillmore,First Annual Message,"December 02, 1850",7689
Theodore Roosevelt,Message Regarding Meatpacking Plants,"June 04, 1906",953
George H. W. Bush,Address on Somalia,"December 04, 1992",1124
John F. Kennedy,State of the Union Address,"January 11, 1962",6376
John Quincy Adams,Inaugural Address,"March 04, 1825",2907
Andrew Johnson,Proclamation Pardoning Persons who Participated in the Rebellion,"May 29, 1865",951
James Madison,Message on the Special Congressional Session -- State of War and Diplomacy,"May 25, 1813",2083
Barack Obama,Remarks on Nominating Judge Sonia Sotomayor to the U.S. Supreme Court,"May 26, 2009",1516
Herbert Hoover,Remarks Upon Proclaiming the Treaty for the Renunciation of War (Kellog-Briand Pact),"July 24, 1929",1091
Joe Biden,State of Union Address,"March 07, 2024",8302
James Monroe,Fifth Annual Message,"December 03, 1821",5814
John F. Kennedy,Address on Civil Rights,"June 11, 1963",1982
Warren G. Harding,Second Annual Message,"December 08, 1922",5742
Herbert Hoover,Statement on the Economy,"November 19, 1929",588
George W. Bush,Address on Military Operations in Iraq,"January 10, 2007",2916
Abraham Lincoln,July 4th Message to Congress,"July 04, 1861",6243
Woodrow Wilson,Fourth Annual Message,"December 05, 1916",2118
Thomas Jefferson,The Reply to New Haven Remonstrance,"July 12, 1801",1215
Ronald Reagan,State of the Union Address,"February 06, 1985",4212
Donald Trump,Statement on Protests Against Police Brutality,"June 01, 2020",801
